"Characteristic","Number (\%)"
"\textbf{Baseline covariates (months 1-6)}","0 (NA\%)"
"Age","44 (33, 54)"
"Sex","0 (NA\%)"
"\hspace{0.5cm}Male","15049 (48.73\%)"
"\hspace{0.5cm}Female","15832 (51.27\%)"
"Race/ethnicity:","0 (NA\%)"
"\hspace{0.5cm}AIAN, non-Hispanic","440 (1.82\%)"
"\hspace{0.5cm}Asian, non-Hispanic","1569 (6.5\%)"
"\hspace{0.5cm}Black, non-Hispanic","3757 (15.56\%)"
"\hspace{0.5cm}Hawaiian/Pacific Islander","190 (0.79\%)"
"\hspace{0.5cm}Hispanic, all races","3751 (15.53\%)"
"\hspace{0.5cm}Multiracial, non-Hispanic","28 (0.12\%)"
"\hspace{0.5cm}White, non-Hispanic","14413 (59.69\%)"
"\hspace{0.5cm}Unknown","6733 (21.8\%)"
"Primary language English","22584 (88.07\%)"
"\hspace{0.5cm}Unknown","5239 (16.97\%)"
"Married/partnered","2573 (22.54\%)"
"\hspace{0.5cm}Unknown","19467 (63.04\%)"
"Household size:","0 (NA\%)"
"\hspace{0.5cm}1","6643 (70.69\%)"
"\hspace{0.5cm}2","1206 (12.83\%)"
"\hspace{0.5cm}$\geq$ 3","1548 (16.47\%)"
"\hspace{0.5cm}Unknown","21484 (69.57\%)"
"Veteran","108 (1.24\%)"
"\hspace{0.5cm}Unknown","22182 (71.83\%)"
"High income ($>$ 138FPL)","454 (1.47\%)"
"TANF Benefits","1980 (7.75\%)"
"\hspace{0.5cm}Unknown","5345 (17.31\%)"
"SSI benefits:","0 (NA\%)"
"\hspace{0.5cm}Mandatory or optional","152 (1.38\%)"
"\hspace{0.5cm}Not applicable","10856 (98.62\%)"
"\hspace{0.5cm}Unknown","19873 (64.35\%)"
"Psychiatric conditions \& counseling (months 1-6):","0 (NA\%)"
"\hspace{0.5cm}Bipolar","685 (2.22\%)"
"\hspace{0.5cm}Anxiety","5451 (17.65\%)"
"\hspace{0.5cm}ADHD","475 (1.54\%)"
"\hspace{0.5cm}Depression","4161 (13.47\%)"
"\hspace{0.5cm}Other mental illness","2194 (7.1\%)"
"\hspace{0.5cm}Mental health counseling","2637 (8.54\%)"
"Psychiatric conditions \& counseling (months 7-12):","0 (NA\%)"
"\hspace{0.5cm}Anxiety","1830 (5.93\%)"
"\hspace{0.5cm}Depression","1307 (4.23\%)"
"\hspace{0.5cm}Bipolar","183 (0.59\%)"
"\hspace{0.5cm}Mental health counseling","2506 (8.12\%)"
